channel,snr,mcs,seq_number
pdc,0.50,0,2574
pcc_err,0.50,0,2627
pcc_err,0.50,0,2635
pdc,0.50,0,2643
pcc_err,0.50,0,2644
pdc,0.50,0,2830
pcc_err,0.50,0,2831
pcc_err,0.50,0,2831
pcc_err,0.50,0,2831
pdc,0.50,0,2842
pcc_err,0.50,0,2843
pcc_err,0.50,0,2854
pdc,0.50,0,2858
pdc,0.50,0,2859
pdc,0.50,0,2868
pcc_err,0.50,0,2870
pdc,0.50,0,2874
pdc,0.50,0,2876
pcc_err,0.50,0,2883
pdc,0.50,0,2885
pcc_err,0.50,0,2886
pdc,0.50,0,2908
pcc_err,0.50,0,2909
pcc_err,0.50,0,2909
pcc_err,0.50,0,2918
pcc_err,0.50,0,2930
pdc,0.50,0,2940
pdc,0.50,0,2943
pcc_err,0.50,0,2944
pcc_err,0.50,0,2944
pdc,0.50,0,2953
pdc,0.50,0,2954
pcc_err,0.50,0,3003
pdc,0.50,0,3012
pcc_err,0.50,0,3013
pcc_err,0.50,0,3013
pdc,0.50,0,3021
pdc,0.50,0,3028
pdc,0.50,0,3032
pcc_err,0.50,0,3044
pcc_err,0.50,0,3044
pdc,0.50,0,3049
pcc_err,0.50,0,3050
pcc_err,0.50,0,3050
pcc_err,0.50,0,3050
pdc,0.50,0,3055
pdc,0.50,0,3057
pdc,0.50,0,3069
pdc,0.50,0,3070
pcc_err,0.50,0,3072
pdc,0.50,0,3075
pcc_err,0.50,0,3076
pcc_err,0.50,0,3082
pdc,0.50,0,3084
pcc_err,0.50,0,3085
pdc,0.50,0,3086
pcc_err,0.50,0,3087
pdc,0.50,0,3099
pcc_err,0.50,0,3100
pcc_err,0.50,0,3100
pdc,0.50,0,3128
pdc,0.50,0,3129
pcc_err,0.50,0,3130
pdc,0.50,0,3138
pcc_err,0.50,0,3139
pcc_err,0.50,0,3139
pcc_err,0.50,0,3139
pdc,0.50,0,3157
pdc,0.50,0,3159
pcc_err,0.50,0,3160
pcc_err,0.50,0,3160
pcc_err,0.50,0,3160
pcc_err,0.50,0,3160
pcc_err,0.50,0,3160
pcc_err,0.50,0,3160
pdc,0.50,0,3180
pcc_err,0.50,0,3181
pcc_err,0.50,0,3181
pcc_err,0.50,0,3181
pdc,0.50,0,3192
pcc_err,0.50,0,3207
pcc_err,0.50,0,3207
pcc_err,0.50,0,3207
pdc,0.50,0,3296
pcc_err,0.50,0,3297
pcc_err,0.50,0,3297
pcc_err,0.50,0,3297
pdc,0.50,0,3301
pcc_err,0.50,0,3304
pdc,0.50,0,3352
pdc,0.50,0,3353
pdc,0.50,0,3355
pcc_err,0.50,0,3366
pdc,0.50,0,3369
pcc_err,0.50,0,3370
pdc,0.50,0,3386
pcc_err,0.50,0,3404
pdc,0.50,0,3406
pcc_err,0.50,0,3407
pcc_err,0.50,0,3407
pcc_err,0.50,0,3407
pdc,0.50,0,3437
pcc_err,0.50,0,3438
pdc,0.50,0,3440
pdc,0.50,0,3443
pdc,0.50,0,3465
pcc_err,0.50,0,3466
pcc_err,0.50,0,3466
pcc_err,0.50,0,3466
pcc_err,0.50,0,3466
pcc_err,0.50,0,3484
pcc_err,0.50,0,3484
pdc,0.50,0,3498
pcc_err,0.50,0,3508
pdc,0.50,0,3514
pdc,0.50,0,3530
pcc_err,0.50,0,3531
pcc_err,0.50,0,3538
pdc,0.50,0,3540
pcc_err,0.50,0,3545
pcc_err,0.50,0,3545
pcc_err,0.50,0,3545
pdc,0.50,0,3560
pdc,0.50,0,3568
pdc,0.50,0,3571
pcc_err,0.50,0,3622
pcc_err,0.50,0,3622
pdc,0.50,0,3635
pcc_err,0.50,0,3636
pcc_err,0.50,0,3636
pcc_err,0.50,0,3636
pdc,0.50,0,3648
